MOLECULE_NAME,SMILES,CHILOGD_7.4
302-215-10,CC(C)(C)N1CCN(Cc2cc3nc(Nc4ccccc4NC(=O)C(F)F)cc(N4CCOCC4)n3n2)CC1,2.12
302-301-01,NC(=O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,1.32
302-313-01,Clc1nc(N2CCOCC2)c2ncnc2n1,0.85
302-313-12,CC(C)(O)C1CCN(Cc2nc3nc(Cl)nc(N4CCOCC4)c3n2)CC1,1.25
302-314-01,OCC1CCCN1Cc1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,1.66
302-315-01,CCOC(=O)C1CCCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,3.52
302-316-02,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,2.69
302-319-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1,0.86
302-321-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1,0.76
302-323-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,1.5
302-324-01,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1c(F)ccc2[nH]ccc12)N1CCOCC1,2.35
302-325-01,CC(C)(C)OC(=O)NC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,3.09
302-327-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,1.35
302-334-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CNC3CCOCC3)cc2n1,1.6
302-345-02,Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)[nH]c2n1,1.78
302-347-02,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCN(CC3)C(C)(C)C)[nH]c2n1,1.34
302-367-17,CS(=O)(=O)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.62
302-374-04,CS(=O)(=O)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.5
302-376-04,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.13
302-389-02,CN(C)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.76
302-397-08,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cncc3[nH]ccc23)CC1,1.59
302-401-02,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.98
302-403-02,CC(C)(N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1)C(N)=O,1.88
302-414-03,Cc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(C)(C)C)cc2n1,1.87
302-416-02,CCc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(C)(C)C)cc2n1,2.06
302-420-02,Cc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCC(CC3)C(C)(C)O)cc2n1,2.12
302-422-02,CC(C)(C)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.67
302-423-01,O=C(C1CC1)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.53
302-434-05,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C2CC2)CC1,2.18
302-453-01,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cncc3[nH]ccc23)CC1,1.4
302-462-01,CC(C)(C)N1CCN(Cc2nn3c(cc(nc3c2Cl)-n2c(nc3ccccc23)C(F)F)N2CCOCC2)CC1,2.57
302-472-01,CC(C)(C)N1CCN(Cc2nn3c(cc(nc3c2Br)-n2c(nc3ccccc23)C(F)F)N2CCOCC2)CC1,2.7
302-473-01,Cc1c(CN2CCC(CC2)C(C)(C)O)nn2c(cc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,3.27
302-482-01,CC(C)(C)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,3
302-484-01,CC(C)(O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,2.79
302-488-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCC(F)(F)CC1,3.43
302-491-01,OC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,2.29
302-492-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCOCC1,2.67
302-493-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCC(CC1)C#N,2.92
302-494-01,CNC(=O)CN1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,1.7
302-495-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCOCC3)cc2n1,2.74
302-497-01,Cc1c(nn2c(cc(nc12)-n1c(nc2ccccc12)C(F)F)N1CCOCC1)C(=O)N1CCN(CC1)C(C)(C)C,3.29
302-499-01,Cc1c(nn2c(cc(nc12)-n1c(nc2ccccc12)C(F)F)N1CCOCC1)C(=O)N1CCOCC1,2.91
302-500-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCC(F)(F)CC3)cc2n1,3.67
302-503-01,CC(C)(C)OC(=O)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,3.89
302-505-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCC(CC3)C#N)cc2n1,3.11
302-511-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(=O)C3CC3)cc2n1,2.9
302-515-01,CCOC(=O)C1CCCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,3.78
302-516-02,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,3.35
302-517-01,Cc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(C)(C)C)c(C)c2n1,2.35
302-520-01,Cc1c(CN2CCN(CC2)C(C)(C)C)nn2c(cc(nc12)-c1cncc2[nH]ccc12)N1CCOCC1,1.88
302-524-01,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1c(F)ccc2[nH]ccc12)N1CCOCC1,3.07
302-525-02,NC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,1.91
302-528-01,O[C@H]1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,1.98
302-529-01,C[C@H]1COCCN1Cc1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,2.98
302-530-01,C[C@@H]1COCCN1Cc1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,2.98
302-538-01,CS(=O)(=O)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,2.8
302-539-02,Cc1cc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCC(CC3)C(C)(C)O)cc2n1,3.22
302-540-01,Cc1c(CN2CCN(CC2)C(=O)C2CC2)nn2c(cc(nc12)-n1c(nc2ccccc12)C(F)F)N1CCOCC1,3.24
302-541-02,OCC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.81
302-542-04,Cc1cc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)n(C)c2n1,4.34
302-543-01,OC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.47
302-548-01,O=C(C1CC1)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.62
302-549-01,Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)n(C)c2n1,3.33
302-553-02,CN(C)C1CCN(Cc2nc3c(nc(nc3n2C)-c2c[nH]c3ccccc23)N2CCOCC2)CC1,3.01
302-554-02,Cn1c(CN2CCC(CC2)C(C)(C)O)nc2c(nc(nc12)-c1c[nH]c2ccccc12)N1CCOCC1,3.22
302-555-02,CN(C)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2c[nH]c3ccccc23)CC1,3.17
302-556-01,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2c[nH]c3ccccc23)CC1,2.17
302-557-01,CC(C)(N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12)C(N)=O,1.76
302-558-01,OCC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.64
302-560-01,CC(C)(O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.04
302-561-01,CNC(=O)CN1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.51
302-562-01,O=C(N1CCC(CC1)N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.78
302-563-01,CC1(O)CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.74
302-564-01,NC(=O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,1.44
302-565-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCN(CC1)C(=O)C1CC1,2.35
302-566-01,C(N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.34
302-567-01,OC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.53
302-568-01,CNC(=O)CN1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.65
302-569-01,C(N1CCC(CC1)N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.17
302-570-01,NC(=O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.49
302-571-01,CC1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.62
302-572-01,O=C(N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.36
302-573-01,[H][C@@]1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)C1,1.71
302-574-01,[H][C@]1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)C1,1.71
302-577-01,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)N2c3ccccc3NC2(O)C(F)F)CC1,1.8
302-578-01,CN1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,2.08
302-579-01,CC(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,2.2
302-580-01,Cc1c(nn2c(cc(nc12)-n1c(nc2ccccc12)C(F)F)N1CCOCC1)C(=O)N1CCC(CC1)N1CCOCC1,2.65
305-632-02,[H][C@]1(O)CC[C@@]([H])(CC1)n1cc(NCCCC)c2cnc(nc12)-c1cnn(c1)C1CCN(C)CC1,1.36
305-645-02,CN1CCN(Cc2ccc(s2)-c2ncc3c(NCCCC(F)(F)F)cn(C4CC[C@H](O)CC4)c3n2)CC1,2.16
