MOLECULE_NAME,SMILES,CHROMLOGD_2.6
302-215-10,CC(C)(C)N1CCN(Cc2cc3nc(Nc4ccccc4NC(=O)C(F)F)cc(N4CCOCC4)n3n2)CC1,1.61
302-301-01,NC(=O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,0.55
302-313-01,Clc1nc(N2CCOCC2)c2ncnc2n1,1.85
302-313-12,CC(C)(O)C1CCN(Cc2nc3nc(Cl)nc(N4CCOCC4)c3n2)CC1,0.08
302-314-01,OCC1CCCN1Cc1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,0.69
302-315-01,CCOC(=O)C1CCCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,1.34
302-316-02,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,1.06
302-319-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1,-0.43
302-321-02,CN(C)C1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1,-0.47
302-323-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2cccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,0.29
302-324-01,CCn1c(CN2CCN(CC2)C(C)(C)C(N)=O)nc2c(nc(nc12)-c1c(F)ccc2[nH]ccc12)N1CCOCC1,0.81
302-325-01,CC(C)(C)OC(=O)NC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)C1,1.57
302-327-02,CC(C)(N1CCN(Cc2nc3c(nc(nc3[nH]2)-c2c(F)ccc3[nH]ccc23)N2CCOCC2)CC1)C(N)=O,0.34
302-334-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CNC3CCOCC3)cc2n1,0.7
302-345-02,Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)[nH]c2n1,-0.26
302-347-02,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCN(CC3)C(C)(C)C)[nH]c2n1,-0.04
302-367-17,CS(=O)(=O)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.13
302-374-04,CS(=O)(=O)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,4.26
302-376-04,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.03
302-389-02,CN(C)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,0.9
302-397-08,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cncc3[nH]ccc23)CC1,0.59
302-401-02,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,1.71
302-403-02,CC(C)(N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1)C(N)=O,1.14
302-414-03,Cc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(C)(C)C)cc2n1,1.2
302-416-02,CCc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCN(CC3)C(C)(C)C)cc2n1,1.4
302-420-02,Cc1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(CN3CCC(CC3)C(C)(C)O)cc2n1,1.23
302-422-02,CC(C)(C)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.11
302-423-01,O=C(C1CC1)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.12
302-434-05,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C2CC2)CC1,1.71
302-453-01,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cncc3[nH]ccc23)CC1,0.53
302-462-01,CC(C)(C)N1CCN(Cc2nn3c(cc(nc3c2Cl)-n2c(nc3ccccc23)C(F)F)N2CCOCC2)CC1,2.21
302-472-01,CC(C)(C)N1CCN(Cc2nn3c(cc(nc3c2Br)-n2c(nc3ccccc23)C(F)F)N2CCOCC2)CC1,2.33
302-473-01,Cc1c(CN2CCC(CC2)C(C)(C)O)nn2c(cc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1,2.8
302-482-01,CC(C)(C)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,2.84
302-484-01,CC(C)(O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,5.01
302-488-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCC(F)(F)CC1,6.07
302-491-01,OC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-n1c(nc2ccccc12)C(F)F,4.18
